,,,,,,,,,,,,
,,,,,,,,,,,,
google,,,,,,,,,,,,
Dates ,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value ,1.17,1.05,1.06,1.21,1.23,1.53,1.4,1.36,1.31,1.12,0.82,0.51
,,,,,,,,,,,,
microsoft,,,,,,,,,,,,
Dates ,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value ,2.45,2.2,2.35,2.23,2.22,2.48,2.71,2.17,2.03,2.03,1.82,1.46
,,,,,,,,,,,,
apple,,,,,,,,,,,,
Dates ,12/31/22,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Value ,1.88,1.29,1.2,1.52,2.1,1.24,1.3,1.4,1.68,0.73,0.65,0.64
,,,,,,,,,,,,
facebook,,,,,,,,,,,,
Dates ,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value ,2.2,1.76,1.64,2.46,2.72,3.67,3.22,3.61,3.3,3.88,2.71,1.8
,,,,,,,,,,,,
disney,,,,,,,,,,,,
Dates ,12/31/22,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Value ,0.7,0.09,0.77,0.26,0.6,0.09,0.5,0.49,0.01,-0.39,-2.61,0.25
,,,,,,,,,,,,
tmobile,,,,,,,,,,,,
Dates ,12/31/22,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Value ,0.44,0.44,0.12,0,0.42,0.14,0.24,0,0.26,0.28,0.22,0
,,,,,,,,,,,,
verizon,,,,,,,,,,,,
Dates ,3/31/23,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value ,1.17,1.56,1.17,1.24,1.09,1.11,1.55,1.4,1.27,1.11,1.05,1.13
,,,,,,,,,,,,
comcast,,,,,,,,,,,,
Dates ,12/31/22,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Value ,0.7,-1.05,0.76,0.78,0.66,0.86,0.8,0.71,0.73,0.44,0.65,0.46
,,,,,,,,,,,,
netflix,,,,,,,,,,,,
Dates ,3/31/23,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value ,2.88,0.12,3.1,3.2,3.53,1.33,3.19,2.97,3.75,1.19,1.74,1.59
,,,,,,,,,,,,
AT&T,,,,,,,,,,,,
Dates ,3/31/23,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value ,0.57,-3.2,0.8,0.56,0.65,0.69,0.8,0.21,1.02,-1.95,0.39,0.17
,,,,,,,,,,,,
"América Móvil, S.A.B. de C.V. (AMX",,,,,,,,,,,,
Dates ,12/31/22,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Value ,4.2,5.6,0,9.6,41.8,4.8,12.96,0.6,11.2,5.6,5.91,-8.75
,,,,,,,,,,,,
Activision Blizzard,,,,,,,,,,,,
Dates ,3/31/23,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value ,0.93,0.51,0.55,0.36,0.5,0.72,0.82,1.12,0.79,0.65,0.78,0.75
,,,,,,,,,,,,
Amazon,,,,,,,,,,,,
Dates,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Value,0.03,0.28,-0.2,-0.38,1.39,0.31,0.76,0.79,0.7,0.62,0.52,0.25
,,,,,,,,,,,,
Tesla,,,,,,,,,,,,
Dates,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020
Value,0.73,1.07,0.95,0.65,0.95,0.68,0.48,0.34,0.13,0.08,0.09,0.03
,,,,,,,,,,,,
The Home Depot,,,,,,,,,,,,
Dates,1/31/2023,10/31/2022,7/31/2022,4/30/2022,1/31/2022,10/31/2021,7/31/2021,4/30/2021,1/31/2021,10/31/2020,7/31/2020,4/30/2020
Value,3.3,4.24,5.05,4.09,3.21,3.92,4.53,3.86,2.65,3.18,4.02,2.08
,,,,,,,,,,,,
Alibaba Group Holding Limited,,,,,,,,,,,,
Dates,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020
Value,17.92,-7.76,8.48,-6.08,10.16,2,16.4,-2,28.88,10.48,17.36,1.12
,,,,,,,,,,,,
McDonald's Corporation,,,,,,,,,,,,
